Step,lr
1,0.00012
2,0.000168
3,0.000216
4,0.000264
5,0.000312
6,0.00036
7,0.000408
8,0.000456
9,0.000504
10,0.000552
11,0.0006
12,0.0006
13,0.0006
15,0.0006
16,0.0006
17,0.0006
21,0.000599999
22,0.000599999
23,0.000599999
24,0.000599999
25,0.000599999
27,0.000599999
28,0.000599999
29,0.000599998
30,0.000599998
32,0.000599998
33,0.000599998
34,0.000599997
35,0.000599997
36,0.000599997
38,0.000599996
40,0.000599996
41,0.000599995
42,0.000599995
43,0.000599995
45,0.000599994
46,0.000599994
47,0.000599993
48,0.000599993
49,0.000599993
50,0.000599992
51,0.000599992
52,0.000599992
54,0.000599991
57,0.000599989
58,0.000599989
60,0.000599988
61,0.000599987
63,0.000599986
66,0.000599985
68,0.000599984
69,0.000599983
70,0.000599983
72,0.000599981
74,0.00059998
78,0.000599977
81,0.000599975
82,0.000599975
84,0.000599973
85,0.000599973
87,0.000599971
88,0.00059997
89,0.000599969
90,0.000599969
92,0.000599967
93,0.000599966
95,0.000599965
96,0.000599964
98,0.000599962
99,0.000599961
100,0.00059996
101,0.000599959
102,0.000599958
103,0.000599958
104,0.000599957
105,0.000599956
108,0.000599953
109,0.000599952
110,0.000599951
111,0.00059995
112,0.000599949
113,0.000599948
114,0.000599947
116,0.000599945
117,0.000599944
119,0.000599941
120,0.00059994
126,0.000599934
127,0.000599932
130,0.000599929
132,0.000599926
134,0.000599924
136,0.000599922
137,0.00059992
139,0.000599918
140,0.000599916
142,0.000599914
145,0.00059991
147,0.000599907
148,0.000599906
149,0.000599904
151,0.000599902
152,0.0005999
153,0.000599899
155,0.000599896
156,0.000599894
157,0.000599893
158,0.000599892
160,0.000599889
162,0.000599886
163,0.000599884
164,0.000599882
166,0.000599879
169,0.000599875
170,0.000599873
171,0.000599871
172,0.00059987
173,0.000599868
174,0.000599867
175,0.000599865
176,0.000599863
177,0.000599862
178,0.00059986
180,0.000599857
181,0.000599855
182,0.000599853
183,0.000599851
184,0.00059985
185,0.000599848
186,0.000599846
188,0.000599843
189,0.000599841
190,0.000599839
191,0.000599837
192,0.000599836
193,0.000599834
194,0.000599832
195,0.00059983
196,0.000599828
197,0.000599826
199,0.000599823
200,0.000599821
202,0.000599817
206,0.000599809
208,0.000599805
209,0.000599803
210,0.000599801
212,0.000599797
213,0.000599795
214,0.000599793
215,0.000599791
217,0.000599787
218,0.000599785
222,0.000599776
223,0.000599774
224,0.000599772
226,0.000599768
228,0.000599764
229,0.000599761
230,0.000599759
232,0.000599755
234,0.00059975
235,0.000599748
238,0.000599741
239,0.000599739
240,0.000599737
241,0.000599734
242,0.000599732
243,0.00059973
248,0.000599718
249,0.000599716
250,0.000599713
251,0.000599711
252,0.000599708
255,0.000599701
256,0.000599699
258,0.000599694
259,0.000599691
261,0.000599686
262,0.000599684
268,0.000599668
269,0.000599666
270,0.000599663
271,0.000599661
272,0.000599658
273,0.000599655
274,0.000599653
275,0.00059965
278,0.000599642
279,0.000599639
280,0.000599637
282,0.000599631
286,0.00059962
287,0.000599618
288,0.000599615
290,0.000599609
292,0.000599604
293,0.000599601
294,0.000599598
296,0.000599592
297,0.000599589
302,0.000599575
303,0.000599572
304,0.000599569
305,0.000599566
306,0.000599563
308,0.000599557
311,0.000599548
312,0.000599545
313,0.000599542
314,0.000599539
315,0.000599536
317,0.00059953
318,0.000599527
321,0.000599518
322,0.000599514
323,0.000599511
324,0.000599508
326,0.000599502
327,0.000599499
329,0.000599492
330,0.000599489
331,0.000599486
332,0.000599483
333,0.00059948
335,0.000599473
336,0.00059947
337,0.000599467
340,0.000599457
341,0.000599453
342,0.00059945
344,0.000599443
345,0.00059944
347,0.000599433
348,0.00059943
350,0.000599423
351,0.00059942
355,0.000599406
356,0.000599403
357,0.000599399
358,0.000599396
359,0.000599392
361,0.000599385
362,0.000599382
365,0.000599371
366,0.000599367
367,0.000599364
368,0.00059936
370,0.000599353
373,0.000599342
376,0.000599331
378,0.000599324
379,0.00059932
380,0.000599317
381,0.000599313
383,0.000599305
384,0.000599302
388,0.000599287
389,0.000599283
390,0.000599279
391,0.000599275
392,0.000599271
394,0.000599264
395,0.00059926
396,0.000599256
397,0.000599252
398,0.000599248
399,0.000599244
401,0.000599237
402,0.000599233
404,0.000599225
406,0.000599217
407,0.000599213
408,0.000599209
409,0.000599205
410,0.000599201
414,0.000599185
415,0.000599181
417,0.000599173
419,0.000599165
420,0.00059916
421,0.000599156
422,0.000599152
423,0.000599148
426,0.000599136
427,0.000599132
430,0.000599119
432,0.000599111
433,0.000599106
434,0.000599102
439,0.000599081
440,0.000599076
442,0.000599068
443,0.000599063
444,0.000599059
450,0.000599033
451,0.000599028
452,0.000599024
453,0.00059902
455,0.000599011
457,0.000599002
458,0.000598997
459,0.000598993
460,0.000598988
461,0.000598984
462,0.000598979
463,0.000598975
464,0.00059897
465,0.000598966
466,0.000598961
467,0.000598957
468,0.000598952
469,0.000598947
471,0.000598938
473,0.000598929
474,0.000598924
476,0.000598915
481,0.000598892
482,0.000598887
483,0.000598882
484,0.000598877
485,0.000598873
486,0.000598868
489,0.000598854
492,0.000598839
493,0.000598834
495,0.000598825
496,0.00059882
498,0.00059881
499,0.000598805
501,0.000598795
503,0.000598785
504,0.000598781
505,0.000598776
506,0.000598771
507,0.000598766
508,0.000598761
513,0.000598736
514,0.000598731
515,0.000598726
516,0.00059872
517,0.000598715
518,0.00059871
519,0.000598705
521,0.000598695
522,0.00059869
523,0.000598685
524,0.00059868
525,0.000598674
528,0.000598659
531,0.000598643
532,0.000598638
534,0.000598628
537,0.000598612
538,0.000598607
540,0.000598596
543,0.00059858
548,0.000598553
550,0.000598543
551,0.000598537
554,0.000598521
555,0.000598515
556,0.00059851
557,0.000598504
559,0.000598493
561,0.000598482
562,0.000598477
563,0.000598471
564,0.000598466
565,0.00059846
566,0.000598455
568,0.000598444
569,0.000598438
570,0.000598432
572,0.000598421
574,0.00059841
575,0.000598404
580,0.000598376
582,0.000598365
583,0.000598359
584,0.000598353
585,0.000598347
586,0.000598342
587,0.000598336
588,0.00059833
590,0.000598318
593,0.000598301
594,0.000598295
595,0.000598289
596,0.000598283
600,0.00059826
602,0.000598248
603,0.000598242
605,0.00059823
606,0.000598224
609,0.000598206
610,0.0005982
612,0.000598188
614,0.000598176
615,0.00059817
616,0.000598164
621,0.000598134
622,0.000598128
623,0.000598121
624,0.000598115
625,0.000598109
626,0.000598103
627,0.000598097
629,0.000598085
631,0.000598072
632,0.000598066
633,0.00059806
634,0.000598053
635,0.000598047
636,0.000598041
637,0.000598035
638,0.000598028
639,0.000598022
640,0.000598016
642,0.000598003
643,0.000597997
644,0.000597991
645,0.000597984
646,0.000597978
650,0.000597952
651,0.000597946
652,0.000597939
655,0.00059792
657,0.000597907
660,0.000597888
662,0.000597875
665,0.000597855
667,0.000597842
668,0.000597835
669,0.000597829
670,0.000597822
671,0.000597816
672,0.000597809
673,0.000597802
674,0.000597796
675,0.000597789
676,0.000597783
